species_plant,mico,,,,
Bromus erectus,AM,,,,
Bromus hordeaceus,AMNM,,,,
Bromus inermis,AMNM,,,,
Bromus japonicus,AM,,,,
Bromus lanceolatus,AM,,,,
Bromus madritensis,AM,,,,
Bromus pauciflorus,AM,,,,
Bromus paulsenii,AM,,,,
Bromus racemosus,AM,,,,
Bromus remotiflorus,AM,,,,
Bromus riparius,AM,,,,
Bromus rubens,AM,,,,
Bromus scoparius,AM,,,,
Bromus secalinus,AM,,,,
Bromus sewerzowii,AMNM,,,,
Bromus squarrosus,AM,,,,
Bromus sterilis,AMNM,,,,
Bromus tectorum,AMNM,,,,
Bromus variegatus,AM,,,,
Brosimum alicastrum,AM,,,,
Brosimum lactescens,AM,,,,
Broussonetia papyrifera,AM,,,,
Bryonia dioica,AM,,,,
Bryophyllum tubiflorum,AM,,,,
Buddleja asiatica,AM,,,,
Buddleja davidii,AMNM,,,,
Buglossoides arvensis,NM,,,,
Bulbine alata,AM,,,,
Bulboschoneus maritimus,AM,,,,
Bulbostylis barbata,AM,,,,
Bulbostylis capillaris,AMNM,,,,
Bulbostylis conifera,AM,,,,
Bulbostylis densa,AM,,,,
Bulbostylis paradoxa,AM,,,,
Bulbostylis puberula,NM,,,,
Bulga orientalis,AM,,,,
Bunias orientalis,AMNM,,,,
Bunium chaerophylloides,AM,,,,
Bupleurum falcatum,AMNM,,,,
Bupleurum lancifolium,AM,,,,
Bupleurum multinerve,AM,,,,
