"study","campaign","species_plant","natural","leaf_habit","leaf_shape","plant_group","growth_form","woodiness","season","climate_class","log","lat","elevation","map","mat","mean_offset","se_offset","n_offset","mean_dexcess","se_dexcess","mean_lcexcess","se_lcexcess","SWLslope","SWLslope.std.error","SWLslope.pvalue","SWLintercept","SWLintercept.std.error","SWLintercept.pvalue","SWLrsquared","n_SWL","lang","absoluteOffset"
"Knighton-2020","Knighton-2020-201708-three","Fagus grandifloria","urban garden","deciduous","broadleaved","angiosperm","tree","tree","wet","cold",-76.32,42.42,350,985,7.1,20.1386098619912,NA,1,8.57143000000001,NA,-4.486295,NA,16.5727831424562,3.61095427531933,0.00373266631684264,69.6247920018976,24.9069876216455,0.0313538006297469,0.778305693093,8,138.732394366197,20.1386098619912
"Knighton-2020","Knighton-2020-201708-three","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","wet","cold",-76.32,42.42,350,985,7.1,17.5693008136796,NA,1,28.78875,NA,16.39553,NA,16.5727831424562,3.61095427531933,0.00373266631684264,69.6247920018976,24.9069876216455,0.0313538006297469,0.778305693093,8,138.732394366197,17.5693008136796
"Knighton-2020","Knighton-2020-201711-five","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","dry","cold",-76.32,42.42,350,985,7.1,1.478271570369,NA,1,35.68886,NA,22.2655275,NA,6.69468007394868,0.623318930201076,0.00172592630427194,19.9390949225363,5.56130229639226,0.037145812883411,0.974652676238154,5,138.732394366197,1.478271570369
"Knighton-2020","Knighton-2020-201711-four","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","dry","cold",-76.32,42.42,350,985,7.1,4.2178725730299,NA,1,40.78528,NA,27.149045,NA,6.14185155669118,0.0880636264505071,0.000205523079004134,14.6692395114822,0.744654051774546,0.00256696047105085,0.999588996081728,4,138.732394366197,4.2178725730299
"Knighton-2020","Knighton-2020-201711-one","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","dry","cold",-76.32,42.42,350,985,7.1,5.29812424324667,NA,1,41.33574,NA,27.7269675,NA,6.12363890106854,0.705612690587133,0.00321930777298846,14.1309310542296,6.36282176021365,0.11295280304181,0.961693577875493,5,138.732394366197,5.29812424324667
"Knighton-2020","Knighton-2020-201711-six","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","dry","cold",-76.32,42.42,350,985,7.1,1.75002849808696,NA,1,36.46512,NA,23.061305,NA,6.47600433164961,0.741915297835256,0.0128719841409021,18.1717222830958,6.77746315573352,0.11549771549086,0.974421719693919,4,138.732394366197,1.75002849808696
"Knighton-2020","Knighton-2020-201711-two","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","dry","cold",-76.32,42.42,350,985,7.1,19.569317994043,NA,1,41.65793,NA,28,NA,10.1031241450793,0.803184470141036,0.00626074126247831,47.056312981578,6.68280006445178,0.0195784888584962,0.987517714356199,4,138.732394366197,19.569317994043
"Knighton-2020","Knighton-2020-201806-six","Fagus grandifloria","urban garden","deciduous","broadleaved","angiosperm","tree","tree","wet","cold",-76.32,42.42,350,985,7.1,-7.43540720988059,NA,1,12.03709,NA,-1.09062250000001,NA,12.264318596567,2.64437668155704,0.00167080145020797,61.0532281972158,26.8360711032067,0.052475727702055,0.728905364641269,10,138.732394366197,7.43540720988059
"Knighton-2020","Knighton-2020-201806-six","Tsuga canadiensis","urban garden","evergreen","narrowleaved","gymnosperm","tree","tree","wet","cold",-76.32,42.42,350,985,7.1,10.1594937079081,NA,1,32.44013,NA,19.4770475,NA,12.264318596567,2.64437668155704,0.00167080145020797,61.0532281972158,26.8360711032067,0.052475727702055,0.728905364641269,10,138.732394366197,10.1594937079081
"Kulmatiski-2006","Kulmatiski-2006-200205-NA","Centaurea diffusa","natural",NA,NA,"angiosperm","forb","non-woody","dry","arid",-107.167,48.61667,790,290,4.9,2.25988001681183,0.247235952274409,2,-6.71335499999999,1.177115,-21.5855277,1.03334629999999,3.98991289766222,0.519840992648463,0.00154939792346127,-80.4573885604889,9.36989198051244,0.00101051911826657,0.936416659660923,6,59.1836734693877,2.25988001681183
